Username,LastName,FirstName,DOB,Location
JLOP,Jones,Larry,12/2/1990,NY
KJUK,Kimbral,James,9/2/1982,London
FRED,Fred,Goldberg,10/1/1992,NJ
LDAP,Larry,David,9/23/1977,NY
TESS,Sweeny,Tessa,8/20/1979,Madrid
LOU3,Louis,Lou,6/15/1964,NJ
TOMX,Koch,Tom,3/20/2000,Paris
JOEV,Victorino,Joseph,2/19/1970,Florida
EDXY,Edward,Xavier,5/1/1984,Florida
BOBY,Kennedy,Robert,2/18/2001,NY
GLEN,Greenwald,Glenn,4/3/1999,NJ
ELSA,Santin,Elsa,3/21/1987,CA
ELDG,Eldridge,Jenny,3/7/1963,Brazillia
LISA,Relis,Lisa,7/4/1995,Quebec
